Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2014-10;Transilien;R;Paris Sud Est;77.9;3.5
2019-10;Transilien;N;Paris Montparnasse;87.745;7.2
2013-10;Transilien;R;Paris Sud Est;89.4;8.4
2014-10;Transilien;U;La Verrière - La Défense;93.6;14.6
2019-10;Transilien;P;Paris Est;88.893;8.0
2013-11;RER;D;RER D;76.9;3.3
2014-11;RER;B;RER B;86.1;6.2
2019-10;Transilien;U;La Verrière - La Défense;91.795;11.2
2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9
2014-12;RER;A;RER A;67.3;2.1
2019-11;Transilien;L;Paris Saint-Lazare Sud;91.801;11.2
2014-01;Transilien;P;Paris Est;91.0;10.1
2014-12;Transilien;U;La Verrière - La Défense;91.8;11.2
2020-02;Transilien;J;Paris Saint-Lazare Nord;86.88;6.622
2014-02;RER;B;RER B;88.9;8.0
2015-01;Transilien;P;Paris Est;90.949;10.0
2020-02;Transilien;L;Paris Saint-Lazare Sud;92.863;13.011
2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4
2015-01;Transilien;U;La Verrière - La Défense;94.673;17.8
2020-03;RER;B;RER B;73.521;2.777
2014-02;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9
2015-02;RER;A;RER A;73.095;2.7
2020-03;RER;C;RER C;93.441;14.246
2014-03;RER;A;RER A;83.3;5.0
2015-02;Transilien;J;Paris Saint-Lazare Nord;85.058;5.7
2020-03;RER;D;RER D;84.696;5.534
2014-03;RER;B;RER B;87.9;7.3
2015-02;Transilien;L;Paris Saint-Lazare Sud;81.819;4.5
2020-03;Transilien;K;Paris Nord Crépy;91.071;10.2
2014-03;RER;C;RER C;91.5;10.8
2015-02;Transilien;P;Paris Est;92.771;12.8
2020-03;Transilien;P;Paris Est;88.686;7.838
2014-03;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
2015-03;Transilien;K;Paris Nord Crépy;88.119;7.4
2020-06;Transilien;U;La Verrière - La Défense;95.482;21.132
2014-04;RER;C;RER C;91.6;10.9
2015-03;Transilien;L;Paris Saint-Lazare Sud;82.902;4.8
2020-07;Transilien;H;Paris Nord Ouest;94.199;16.237
2014-05;RER;C;RER C;91.7;11.0
2015-03;Transilien;N;Paris Montparnasse;94.754;18.1
2020-07;Transilien;K;Paris Nord Crépy;93.239;13.791
2014-05;Transilien;P;Paris Est;92.7;12.7
2015-04;RER;A;RER A;71.977;2.6
2020-07;Transilien;N;Paris Montparnasse;94.142;16.072
2014-05;Transilien;R;Paris Sud Est;89.7;8.7
2015-04;Transilien;N;Paris Montparnasse;93.906;15.4
2020-08;RER;B;RER B;76.672;3.287
2014-06;RER;A;RER A;72.6;2.6
2015-05;RER;E;RER E;95.987;23.9
2020-08;RER;C;RER C;93.157;13.614
2014-06;Transilien;J;Paris Saint-Lazare Nord;84.9;5.6
2015-06;RER;B;RER B;84.971;5.7
2020-08;RER;D;RER D;87.498;6.999
2014-06;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2015-06;Transilien;L;Paris Saint-Lazare Sud;82.635;4.8
2020-09;RER;C;RER C;91.069;10.197
2014-06;Transilien;N;Paris Montparnasse;94.7;17.9
2015-07;RER;B;RER B;90.9;10.0
2020-09;RER;D;RER D;87.593;7.06
2014-06;Transilien;P;Paris Est;89.4;8.4
2015-07;Transilien;P;Paris Est;90.1;9.1
2020-09;Transilien;H;Paris Nord Ouest;94.268;16.445
2014-07;Transilien;L;Paris Saint-Lazare Sud;85.5;5.9
2015-08;RER;D;RER D;91.5;10.8
2020-09;Transilien;L;Paris Saint-Lazare Sud;94.426;16.939
2014-08;RER;A;RER A;81.2;4.3
2015-08;Transilien;H;Paris Nord Ouest;96.3;26.0
2020-11;RER;C;RER C;91.637;10.958
2014-08;RER;D;RER D;92.0;11.5
2015-08;Transilien;J;Paris Saint-Lazare Nord;90.0;9.0
2020-11;Transilien;H;Paris Nord Ouest;95.565;21.548
2014-08;Transilien;H;Paris Nord Ouest;95.5;21.2
2015-09;RER;A;RER A;69.995;2.3
2020-11;Transilien;P;Paris Est;93.767;15.044
2014-08;Transilien;N;Paris Montparnasse;94.0;15.7
2015-09;Transilien;P;Paris Est;86.054;6.2
2020-12;RER;A;RER A;88.737;7.879
2014-09;Transilien;L;Paris Saint-Lazare Sud;85.7;6.0
2015-09;Transilien;R;Paris Sud Est;89.617;8.6
2020-12;RER;B;RER B;88.286;7.537
2014-09;Transilien;U;La Verrière - La Défense;95.9;23.4
2015-09;Transilien;U;La Verrière - La Défense;92.786;12.9
2020-12;RER;C;RER C;92.309;12.003
2014-10;RER;A;RER A;68.8;2.2
2015-10;RER;C;RER C;88.034;7.4
2020-12;Transilien;L;Paris Saint-Lazare Sud;93.937;15.493
2014-10;Transilien;K;Paris Nord Crépy;86.5;6.4
2015-10;Transilien;H;Paris Nord Ouest;93.511;14.4
2021-02;RER;B;RER B;83.125;4.926
2014-10;Transilien;N;Paris Montparnasse;91.0;10.1
2015-10;Transilien;K;Paris Nord Crépy;90.205;9.2
2021-02;RER;D;RER D;85.731;6.008
2014-10;Transilien;P;Paris Est;90.7;9.8
2015-10;Transilien;L;Paris Saint-Lazare Sud;82.69;4.8
2021-02;RER;E;RER E;94.078;15.887
2014-11;Transilien;R;Paris Sud Est;84.876;5.6
